Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.converter.HttpMessageNotReadableException'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4O Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 6;startOffset: 7;endOffset: 73;endLine: 6,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.converter.HttpMessageNotWritableException'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4P Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 7;startOffset: 7;endOffset: 73;endLine: 7,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.IOException'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4Q Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 9;startOffset: 7;endOffset: 26;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.core.MethodParameter'.",MINOR,2min,Key: AYcswT4W6T396UwZHB3- Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 3;startOffset: 7;endOffset: 47;endLine: 3,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.core.annotation.Order'.",MINOR,2min,Key: AYcswT4W6T396UwZHB3_ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 4;startOffset: 7;endOffset: 48;endLine: 4,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.MediaType'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4A Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 5;startOffset: 7;endOffset: 41;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.converter.HttpMessageConverter'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4B Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 6;startOffset: 7;endOffset: 62;endLine: 6,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.server.ServerHttpRequest'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4C Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 7;startOffset: 7;endOffset: 56;endLine: 7,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.server.ServerHttpResponse'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4D Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 8;startOffset: 7;endOffset: 57;endLine: 8,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.server.ServletServerHttpRequest'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4E Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 9;startOffset: 7;endOffset: 63;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.util.Assert'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4F Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 10;startOffset: 7;endOffset: 38;endLine: 10,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.util.ObjectUtils'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4G Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 11;startOffset: 7;endOffset: 43;endLine: 11,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.web.bind.annotation.ControllerAdvice'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4H Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 12;startOffset: 7;endOffset: 63;endLine: 12,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.web.servlet.mvc.method.annotation.ResponseBodyAdvice'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4I Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 13;startOffset: 7;endOffset: 79;endLine: 13,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'javax.servlet.http.HttpServletRequest'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4J Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 15;startOffset: 7;endOffset: 44;endLine: 15,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.util.regex.Pattern'.",MINOR,2min,Key: AYcswT4W6T396UwZHB4K Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.java - startLine: 16;startOffset: 7;endOffset: 30;endLine: 16,Maintenance (Code Smells)
To-Do,New,Normal,java:S4838:  "Change Object to the type handled by the Collection.",MINOR,1min,Key: AYcjwQMrX6s91pIT17pV Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 915;startOffset: 13;endOffset: 19;endLine: 915,Maintenance (Code Smells)
To-Do,New,Normal,java:S3626:  "Remove this redundant jump.",MINOR,1min,Key: AYcjwP9dX6s91pIT17oR Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/DefaultJSONParser.java - startLine: 1328;startOffset: 12;endOffset: 19;endLine: 1328,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused start local variable.",MINOR,5min,Key: AYcjwP7BX6s91pIT17oN Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 3095;startOffset: 16;endOffset: 21;endLine: 3095,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused count local variable.",MINOR,5min,Key: AYcjwP7BX6s91pIT17oO Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 3096;startOffset: 16;endOffset: 21;endLine: 3096,Maintenance (Code Smells)
To-Do,New,Normal,java:S1126:  "Replace this if-then-else statement by a single return statement.",MINOR,2min,Key: AYcjwP-RX6s91pIT17oV Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 726;startOffset: 8;endOffset: 10;endLine: 726,Maintenance (Code Smells)
To-Do,New,Normal,java:S1126:  "Replace this if-then-else statement by a single return statement.",MINOR,2min,Key: AYcjwP-RX6s91pIT17oW Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 746;startOffset: 8;endOffset: 10;endLine: 746,Maintenance (Code Smells)
To-Do,New,Normal,java:S1488:  "Immediately return this expression instead of assigning it to the temporary variable pino.",MINOR,2min,Key: AYcjwP-RX6s91pIT17oT Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1241;startOffset: 38;endOffset: 42;endLine: 1241,Maintenance (Code Smells)
To-Do,New,Normal,java:S1488:  "Immediately return this expression instead of assigning it to the temporary variable pino.",MINOR,2min,Key: AYcjwP-RX6s91pIT17oU Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1822;startOffset: 26;endOffset: 27;endLine: 1822,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwP80X6s91pIT17oP Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/ParserConfig.java - startLine: 1530;startOffset: 16;endOffset: 28;endLine: 1530,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwP39X6s91pIT17oH Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/ASMDeserializerFactory.java - startLine: 76;startOffset: 10;endOffset: 16;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwP39X6s91pIT17oI Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/ASMDeserializerFactory.java - startLine: 79;startOffset: 10;endOffset: 16;endLine: 79,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwP3CX6s91pIT17oF Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/EnumDeserializer.java - startLine: 46;startOffset: 17;endOffset: 27;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwP3CX6s91pIT17oG Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/EnumDeserializer.java - startLine: 221;startOffset: 44;endOffset: 54;endLine: 221,Maintenance (Code Smells)
To-Do,New,Normal,java:S3740:  "Provide the parametrized type for this generic.",MAJOR,5min,Key: AYcjwP13X6s91pIT17oC Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java - startLine: 506;startOffset: 14;endOffset: 18;endLine: 506,Maintenance (Code Smells)
To-Do,New,Normal,java:S116:  "Rename this field double_quoted_fieldPrefix to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPx1X6s91pIT17nu Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/FieldSerializer.java - startLine: 37;startOffset: 29;endOffset: 54;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused writeClassName local variable.",MINOR,5min,Key: AYcjwPqWX6s91pIT17m7 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 207;startOffset: 26;endOffset: 40;endLine: 207,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused skipTransient local variable.",MINOR,5min,Key: AYcjwPqWX6s91pIT17m8 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 211;startOffset: 26;endOffset: 39;endLine: 211,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused ignoreNonFieldGetter local variable.",MINOR,5min,Key: AYcjwPqWX6s91pIT17m9 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 212;startOffset: 26;endOffset: 46;endLine: 212,Maintenance (Code Smells)
To-Do,New,Normal,java:S1126:  "Replace this if-then-else statement by a single return statement.",MINOR,2min,Key: AYcjwPqXX6s91pIT17nB Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 288;startOffset: 8;endOffset: 10;endLine: 288,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYcjwPqXX6s91pIT17nC Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 363;startOffset: 24;endOffset: 36;endLine: 363,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPqWX6s91pIT17m5 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 584;startOffset: 27;endOffset: 33;endLine: 584,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwPyIX6s91pIT17ny Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JodaCodec.java - startLine: 42;startOffset: 18;endOffset: 24;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwPyIX6s91pIT17nz Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JodaCodec.java - startLine: 43;startOffset: 18;endOffset: 24;endLine: 43,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwPyIX6s91pIT17n0 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JodaCodec.java - startLine: 44;startOffset: 18;endOffset: 24;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwPyIX6s91pIT17n1 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JodaCodec.java - startLine: 45;startOffset: 18;endOffset: 24;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,java:S2737:  "Add logic to this catch clause or eliminate it and rethrow the exception automatically.",MINOR,5min,Key: AYcjwPyIX6s91pIT17n4 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JodaCodec.java - startLine: 329;startOffset: 20;endOffset: 28;endLine: 329,Maintenance (Code Smells)
To-Do,New,Normal,java:S1126:  "Replace this if-then-else statement by a single return statement.",MINOR,2min,Key: AYcjwPrVX6s91pIT17nP Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/MapSerializer.java - startLine: 155;startOffset: 8;endOffset: 10;endLine: 155,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYcjwPrVX6s91pIT17nQ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/MapSerializer.java - startLine: 172;startOffset: 24;endOffset: 49;endLine: 172,Maintenance (Code Smells)
To-Do,New,Normal,java:S116:  "Rename this field method_paths_get_error to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPumX6s91pIT17nT Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/MiscCodec.java - startLine: 60;startOffset: 28;endOffset: 50;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unnecessary import: java.lang classes are always implicitly imported.",MINOR,2min,Key: AYcjwPwgX6s91pIT17nj Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 32;startOffset: 7;endOffset: 28;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYcjwPwgX6s91pIT17nk Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 159;startOffset: 10;endOffset: 16;endLine: 159,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPwgX6s91pIT17ng Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 1706;startOffset: 78;endOffset: 104;endLine: 1706,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPwgX6s91pIT17nh Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 1746;startOffset: 66;endOffset: 92;endLine: 1746,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYcjwPwgX6s91pIT17np Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 1746;startOffset: 19;endOffset: 52;endLine: 1746,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwPwgX6s91pIT17ni Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeWriter.java - startLine: 1750;startOffset: 65;endOffset: 91;endLine: 1750,Maintenance (Code Smells)
To-Do,New,Normal,java:S1104:  "Make fieldClass a static final constant or non-public and provide accessors if needed.",MINOR,10min,Key: AYcjwQH8X6s91pIT17o- Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 27;startOffset: 22;endOffset: 32;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,java:S1104:  "Make fieldType a static final constant or non-public and provide accessors if needed.",MINOR,10min,Key: AYcjwQH8X6s91pIT17o_ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 28;startOffset: 22;endOffset: 31;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,java:S1104:  "Make label a static final constant or non-public and provide accessors if needed.",MINOR,10min,Key: AYcjwQH8X6s91pIT17pA Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 33;startOffset: 22;endOffset: 27;endLine: 33,Maintenance (Code Smells)
To-Do,New,Normal,java:S1104:  "Make isEnum a static final constant or non-public and provide accessors if needed.",MINOR,10min,Key: AYcjwQH8X6s91pIT17pB Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 43;startOffset: 22;endOffset: 28;endLine: 43,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYcjwQH8X6s91pIT17pE Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 265;startOffset: 24;endOffset: 55;endLine: 265,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYcjwQH8X6s91pIT17pF Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 271;startOffset: 24;endOffset: 46;endLine: 271,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYcjwQH8X6s91pIT17o8 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/FieldInfo.java - startLine: 452;startOffset: 60;endOffset: 68;endLine: 452,Maintenance (Code Smells)
