#,Tracker,Stato,Priorità,Oggetto,Assegnato a,Categoria,Inizio,Scadenza,Tempo stimato,Tempo impiegato,Creato,Chiuso,Caratteristica di riferimento,Descrizione
359395,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:00,Reliability (Bugs),Key: AYSMG9qzmuymsPtOyEOk Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1820;startOffset: 34;endOffset: 35;endLine: 1820
359396,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 20:28,Reliability (Bugs),Key: AYSMG9qzmuymsPtOyEOl Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1961;startOffset: 28;endOffset: 29;endLine: 1961
359397,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 20:26,Reliability (Bugs),Key: AYSMG9qzmuymsPtOyEOm Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 2100;startOffset: 28;endOffset: 29;endLine: 2100
359398,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,07",2022-12-10 16:33,2022-12-11 20:21,Reliability (Bugs),Key: AYSMG9qJmuymsPtOyELs Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/ParserConfig.java - startLine: 205;startOffset: 12;endOffset: 47;endLine: 205
359399,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,05",2022-12-10 16:33,2022-12-11 20:17,Reliability (Bugs),Key: AYSMG9fUmuymsPtOyD2h Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/AnnotationSerializer.java - startLine: 18;startOffset: 19;endOffset: 33;endLine: 18
359400,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,12",2022-12-10 16:33,2022-12-11 20:15,Reliability (Bugs),Key: AYSMG9fUmuymsPtOyD2i Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/AnnotationSerializer.java - startLine: 20;startOffset: 19;endOffset: 34;endLine: 20
359401,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,3",2022-12-10 16:33,2022-12-13 13:33,Reliability (Bugs),Key: AYSMG9fUmuymsPtOyD2j Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/AnnotationSerializer.java - startLine: 21;startOffset: 19;endOffset: 34;endLine: 21
359402,To-Do,Closed,Normal,"java:S3077:  ""Use an AtomicLongArray instead.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","2,2",2022-12-10 16:33,2022-12-13 14:03,Reliability (Bugs),Key: AYSMG9ewmuymsPtOyD2B Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 52;startOffset: 22;endOffset: 37;endLine: 52
359403,To-Do,Closed,Normal,"java:S3077:  ""Use an AtomicReferenceArray instead.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,8",2022-12-10 16:33,2022-12-13 14:04,Reliability (Bugs),Key: AYSMG9ewmuymsPtOyD2C Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 53;startOffset: 22;endOffset: 38;endLine: 53
359404,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,08",2022-12-10 16:33,2022-12-11 20:11,Reliability (Bugs),Key: AYSMG9xRmuymsPtOyEZP Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java - startLine: 13;startOffset: 14;endOffset: 29;endLine: 13
359405,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,1",2022-12-10 16:33,2022-12-11 20:08,Reliability (Bugs),Key: AYSMG9xRmuymsPtOyEZQ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java - startLine: 14;startOffset: 14;endOffset: 36;endLine: 14
359406,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,05",2022-12-10 16:33,2022-12-11 20:04,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWU Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 80;startOffset: 19;endOffset: 33;endLine: 80
359407,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vincenzo Pellegrini,MINOR,2022-12-10,2022-12-15,"0,33","0,05",2022-12-10 16:33,2022-12-11 20:00,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWV Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 83;startOffset: 19;endOffset: 39;endLine: 83
359408,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,08",2022-12-10 16:33,2022-12-13 15:21,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWW Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 84;startOffset: 19;endOffset: 34;endLine: 84
359409,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,08",2022-12-10 16:33,2022-12-13 15:23,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWX Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 85;startOffset: 19;endOffset: 34;endLine: 85
359410,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,08",2022-12-10 16:33,2022-12-13 15:23,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWY Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 86;startOffset: 19;endOffset: 34;endLine: 86
359411,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:26,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWZ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 88;startOffset: 19;endOffset: 48;endLine: 88
359412,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:26,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWa Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 97;startOffset: 19;endOffset: 33;endLine: 97
359413,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:26,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWb Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 98;startOffset: 19;endOffset: 33;endLine: 98
359414,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:26,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWc Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 100;startOffset: 19;endOffset: 34;endLine: 100
359415,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:27,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWd Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 101;startOffset: 19;endOffset: 33;endLine: 101
359416,To-Do,Closed,Normal,"java:S3077:  ""Use a thread-safe type; adding volatile is not enough to make this field thread-safe.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,33","0,03",2022-12-10 16:33,2022-12-13 15:27,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEWe Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 102;startOffset: 19;endOffset: 34;endLine: 102
359417,To-Do,Closed,Normal,"java:S3599:  ""Use another way to initialize this instance.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,08","0,08",2022-12-10 16:33,2022-12-13 15:31,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEXb Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 2674;startOffset: 78;endOffset: 6;endLine: 2683
359418,To-Do,Closed,Normal,"java:S3599:  ""Use another way to initialize this instance.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,08","0,08",2022-12-10 16:33,2022-12-13 15:31,Reliability (Bugs),Key: AYSMG9wYmuymsPtOyEXh Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 2796;startOffset: 80;endOffset: 6;endLine: 2803
359419,To-Do,Closed,Normal,"java:S899:  ""Do something with the boolean value returned by hasNext.""",Vito Mastrandrea,MINOR,2022-12-10,2022-12-15,"0,25","0,2",2022-12-10 16:33,2022-12-13 15:34,Reliability (Bugs),Key: AYSMG9wZmuymsPtOyEX6 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 3144;startOffset: 72;endOffset: 90;endLine: 3144
